frame_number static_density dynamic_density
1 0.203422 0.120242
6 0.206113 0.127074
11 0.218594 0.115312
16 0.220172 0.078028
21 0.220051 0.077131
26 0.224987 0.0838168
31 0.23014 0.0853562
36 0.23131 0.0841412
41 0.235592 0.090827
46 0.238569 0.111298
51 0.24035 0.100515
56 0.250719 0.0857824
61 0.259669 0.0886896
66 0.255929 0.0368766
71 0.243709 0.0167366
76 0.247449 0.0218066
81 0.258308 0.0327672
86 0.28145 0.0673537
91 0.304084 0.0858015
96 0.310706 0.12514
101 0.312392 0.109332
106 0.30605 0.0999555
111 0.301756 0.100598
116 0.311228 0.107888
121 0.311934 0.149866
126 0.309962 0.14236
131 0.311997 0.141743
136 0.315954 0.153721
141 0.31909 0.168359
146 0.317843 0.189402
151 0.316253 0.122716
156 0.31138 0.154408
161 0.306323 0.153244
166 0.303537 0.149135
171 0.300274 0.150331
176 0.297945 0.135808
181 0.298969 0.121559
186 0.298155 0.110102
191 0.296953 0.0996438
196 0.298868 0.0772074
201 0.299784 0.0343003
206 0.301425 0.0252417
211 0.301985 0.0372519
216 0.301552 0.0382252
221 0.300115 0.0749173
226 0.299784 0.0299046
231 0.300254 0.0269911
236 0.301336 0.0310878
241 0.297793 0.0306679
246 0.295871 0.0223855
251 0.295973 0.0225509
256 0.2961 0.0144847
261 0.296698 0.0152863
266 0.29624 0.0315776
271 0.296011 0.0860878
276 0.296915 0.0282443
281 0.307742 0.0243893
286 0.318333 0.038855
291 0.320452 0.0498346
296 0.308702 0.0184924
301 0.301807 0.051673
306 0.301298 0.0461196
311 0.30617 0.0579707
316 0.305738 0.0441539
321 0.299249 0.113365
326 0.299688 0.0767812
331 0.299218 0.0800127
336 0.298919 0.0337532
341 0.301221 0.0215585
346 0.305401 0.0283969
351 0.306215 0.0266158
356 0.304122 0.0260878
361 0.304027 0.020827
366 0.302824 0.0200127
371 0.299466 0.0475
376 0.299504 0.0166094
381 0.299237 0.0151972
386 0.307042 0.0263041
391 0.31577 0.0537595
396 0.317156 0.070617
401 0.316419 0.0593702
406 0.321139 0.0729453
411 0.337723 0.0708015
416 0.359001 0.114001
421 0.370452 0.139873
426 0.388365 0.135636
431 0.41145 0.170884
436 0.427627 0.177258
441 0.4332 0.171947
446 0.436037 0.192443
451 0.439618 0.249358
456 0.44381 0.255961
461 0.446393 0.297901
466 0.450623 0.300382
471 0.452519 0.317729
476 0.450515 0.30334
481 0.447888 0.308804
486 0.446565 0.287595
491 0.444485 0.280662
496 0.443454 0.26612
501 0.448473 0.014631
506 0.469326 0.043416
511 0.485802 0.0798473
516 0.495598 0.0904644
521 0.515515 0.123683
526 0.528098 0.0834606
531 0.534523 0.0680025
536 0.540223 0.0773155
541 0.542303 0.0842176
546 0.544447 0.116387
551 0.538422 0.0989249
556 0.535324 0.108575
561 0.531527 0.113709
566 0.52827 0.279402
571 0.5293 0.282863
576 0.535127 0.0342239
581 0.547481 0.055617
586 0.558022 0.0625382
591 0.566864 0.068028
596 0.589453 0.0933524
601 0.607386 0.0826781
606 0.618263 0.0973791
611 0.641419 0.10369
616 0.65334 0.112844
621 0.671985 0.1232
626 0.676578 0.130897
631 0.684014 0.134739
636 0.688861 0.143142
641 0.691101 0.133931
646 0.695433 0.120102
651 0.696069 0.0572519
656 0.698874 0.0756298
661 0.699892 0.0914186
666 0.702417 0.0937532
671 0.703855 0.13388
676 0.705229 0.10757
681 0.706629 0.114758
686 0.708511 0.116177
691 0.708613 0.112716
696 0.711495 0.212385
701 0.711781 0.143849
706 0.713893 0.0990522
711 0.715598 0.137137
716 0.718397 0.0888804
721 0.721215 0.159319
726 0.72173 0.124682
731 0.721762 0.103861
736 0.722812 0.119046
741 0.725433 0.0135178
746 0.728766 0.160986
751 0.729383 0.0102036
756 0.729116 0.12334
761 0.729606 0.0822519
766 0.729866 0.0404135
771 0.731279 0.0493893
776 0.732411 0.128581
781 0.732468 0.0248601
786 0.732742 0.0135305
791 0.732684 0.0152417
796 0.73105 0.0285114
801 0.731145 0.0252545
806 0.728461 0.0369148
811 0.72764 0.0598028
816 0.73631 0.0744784
821 0.746139 0.144249
826 0.750986 0.0592812
831 0.753251 0.0325763
836 0.754943 0.0398537
841 0.755712 0.035388
846 0.757933 0.117786
851 0.758168 0.0270738
856 0.757239 0.0404453
861 0.75638 0.0244975
866 0.755114 0.0578944
871 0.753562 0.0772519
876 0.754536 0.0430407
881 0.75159 0.0566539
886 0.751291 0.0471819
891 0.752284 0.0354071
896 0.754046 0.0210751
901 0.755439 0.0268511
906 0.757735 0.153524
911 0.757945 0.0200763
916 0.756508 0.0144338
921 0.753429 0.0231043
926 0.753581 0.00573791
931 0.753938 0.166469
936 0.753709 0.027042
941 0.756291 0.0231298
946 0.756374 0.0234415
951 0.756158 0.0341349
956 0.756533 0.0816349
961 0.756215 0.103874
966 0.755229 0.100693
971 0.754332 0.0270738
976 0.752818 0.0158397
981 0.753333 0.0721374
986 0.753944 0.0371692
991 0.752411 0.0370165
996 0.751934 0.0155662
1001 0.753187 0.0208142
1006 0.754771 0.0371501
1011 0.75021 0.0440204
1016 0.749822 0.036056
1021 0.749816 0.035159
1026 0.748798 0.0359987
1031 0.748511 0.0399746
1036 0.750738 0.0730725
1041 0.750324 0.0442684
1046 0.750445 0.0398728
1051 0.751069 0.04007
1056 0.750789 0.0445229
1061 0.749497 0.0692685
1066 0.748034 0.0287977
1071 0.747704 0.0290204
1076 0.748187 0.0255407
1081 0.747812 0.0341667
1086 0.750776 0.0963168
1091 0.749809 0.0294338
1096 0.750134 0.0329517
1101 0.750127 0.0357125
1106 0.749548 0.0320992
1111 0.7489 0.0916667
1116 0.748677 0.0439695
1121 0.749198 0.0342366
1126 0.748957 0.0374682
1131 0.746565 0.0335814
1136 0.747265 0.0598919
1141 0.749154 0.046902
1146 0.750318 0.0304071
1151 0.750515 0.0278053
1156 0.749548 0.0340267
1161 0.7511 0.0683015
1166 0.751896 0.0530153
1171 0.751743 0.0517812
1176 0.750216 0.0498982
1181 0.748511 0.0378244
1186 0.751088 0.061215
1191 0.752417 0.0242748
1196 0.752449 0.0165331
1201 0.75341 0.018028
1206 0.752411 0.025986
1211 0.751985 0.0879962
1216 0.75133 0.00962468
1221 0.751037 0.088556
1226 0.750649 0.0371501
1231 0.75124 0.0286896
1236 0.749637 0.0474237
1241 0.748518 0.0371819
1246 0.748677 0.0320038
1251 0.749746 0.0326272
1256 0.750674 0.0283906
1261 0.75007 0.0678371
1266 0.750426 0.0182252
1271 0.750439 0.0236641
1276 0.750719 0.029173
1281 0.751355 0.0402099
1286 0.750235 0.0657761
1291 0.749504 0.0339059
1296 0.74764 0.0442875
1301 0.747112 0.038785
1306 0.749415 0.0386387
1311 0.750757 0.0447265
1316 0.748995 0.0339695
1321 0.7493 0.0295293
1326 0.749078 0.0295038
1331 0.7489 0.0163677
1336 0.750433 0.1418
1341 0.749676 0.0617112
1346 0.749695 0.0491221
1351 0.751107 0.0461514
1356 0.752029 0.0474555
1361 0.751864 0.0572392
1366 0.754281 0.0503626
1371 0.754574 0.0502926
1376 0.752837 0.0388931
1381 0.752182 0.0326527
1386 0.752672 0.0470293
1391 0.751349 0.0358015
1396 0.750095 0.0280852
1401 0.750655 0.0166412
1406 0.751768 0.0213168
1411 0.749733 0.0328308
1416 0.749224 0.038785
1421 0.74715 0.0810115
1426 0.746361 0.145986
1431 0.744657 0.218314
1436 0.744459 0.175973
1441 0.74278 0.271819
1446 0.741609 0.297538
1451 0.73841 0.315426
1456 0.739415 0.389071
1461 0.744854 0.399275
1466 0.756902 0.403467
1471 0.762907 0.454472
1476 0.771775 0.214529
1481 0.773225 0.200655
1486 0.771711 0.230197
1491 0.780178 0.39313
1496 0.779453 0.466018
1501 0.782106 0.542449
1506 0.793289 0.686075
1511 0.807169 0.687296
1516 0.797265 0.724816
1521 0.794046 0.325426
1526 0.773009 0.636202
1531 0.776393 0.554065
1536 0.776285 0.621781
1541 0.784319 0.683594
1546 0.782296 0.599682
1551 0.761043 0.639281
1556 0.746896 0.563989
1561 0.72388 0.667322
1566 0.730229 0.636412
1571 0.740115 0.621947
1576 0.741196 0.620165
1581 0.739447 0.621718
1586 0.737023 0.567055
1591 0.745827 0.278015
1596 0.742659 0.604517
1601 0.723511 0.60902
1606 0.700617 0.657494
1611 0.679256 0.347144
1616 0.684784 0.489224
1621 0.695693 0.496788
1626 0.67909 0.619663
1631 0.659612 0.589128
1636 0.62715 0.633779
1641 0.641947 0.593702
1646 0.66895 0.59701
1651 0.674453 0.619332
1656 0.678257 0.567131
1661 0.679873 0.615961
1666 0.679466 0.562455
1671 0.681864 0.603372
1676 0.684408 0.584917
1681 0.672169 0.579249
1686 0.66778 0.512843
1691 0.663435 0.396902
1696 0.657106 0.502786
1701 0.676247 0.557137
1706 0.683346 0.49612
1711 0.680235 0.509211
1716 0.671463 0.347125
1721 0.682214 0.535452
1726 0.67993 0.458613
1731 0.61855 0.510331
1736 0.527513 0.506508
1741 0.469682 0.494103
1746 0.44014 0.5382
1751 0.414294 0.55792
1756 0.407398 0.323073
1761 0.372894 0.477621
1766 0.359039 0.497436
1771 0.382888 0.504682
1776 0.406832 0.49187
1781 0.398117 0.501679
1786 0.399122 0.196985
1791 0.381851 0.447067
1796 0.374122 0.400935
1801 0.38951 0.424129
1806 0.388193 0.437023
1811 0.376126 0.362169
1816 0.351387 0.410598
1821 0.352252 0.385165
1826 0.341291 0.385757
1831 0.328919 0.399599
1836 0.319828 0.387239
1841 0.294567 0.380204
1846 0.276781 0.344612
1851 0.264885 0.303989
1856 0.260337 0.229198
1861 0.279167 0.236457
1866 0.277271 0.160114
1871 0.296826 0.225872
1876 0.310973 0.260184
1881 0.341896 0.263295
1886 0.354828 0.341851
1891 0.375725 0.374421
1896 0.379103 0.413613
1901 0.388823 0.406807
1906 0.430827 0.367475
1911 0.417748 0.445477
1916 0.405344 0.436355
1921 0.400617 0.445318
1926 0.384803 0.399517
1931 0.355617 0.352907
1936 0.308893 0.257799
1941 0.283085 0.22895
1946 0.263537 0.253066
1951 0.228804 0.232137
1956 0.203486 0.118887
1961 0.191463 0.120852
1966 0.184211 0.0844148
1971 0.164084 0.0426654
1976 0.156508 0.0169466
1981 0.157519 0.0269911
1986 0.152233 0.0270738
1991 0.15369 0.0208206
1996 0.153715 0.00930025
2001 0.160051 0.0279517
2006 0.220503 0.0497519
2011 0.287125 0.131291
2016 0.361024 0.168295
2021 0.401857 0.146272
2026 0.391495 0.335254
2031 0.39631 0.34152
2036 0.326482 0.329828
2041 0.321107 0.306864
2046 0.29285 0.312875
2051 0.264809 0.287029
2056 0.236514 0.227767
2061 0.206221 0.151011
2066 0.184491 0.141921
2071 0.18243 0.0845611
2076 0.173378 0.0565013
2081 0.157627 0.0188359
2086 0.150642 0.03507
2091 0.149898 0.0203053
2096 0.15131 0.013416
2101 0.170159 0.0463486
2106 0.205356 0.0703944
2111 0.245865 0.0915013
2116 0.309427 0.110509
2121 0.382894 0.121094
2126 0.438244 0.115102
2131 0.491037 0.203111
2136 0.507487 0.235064
2141 0.483728 0.231501
2146 0.434504 0.221508
2151 0.401877 0.260445
2156 0.344879 0.137659
2161 0.310337 0.218232
2166 0.307602 0.165999
2171 0.291196 0.0538995
2176 0.268391 0.144695
2181 0.239606 0.195095
2186 0.195655 0.0724555
2191 0.176215 0.117653
2196 0.164962 0.0796438
2201 0.162818 0.0438931
2206 0.16063 0.0402417
2211 0.157506 0.0214695
2216 0.151069 0.0104644
2221 0.151336 0.0148282
2226 0.152373 0.0162341
2231 0.151845 0.00970738
2236 0.151851 0.0102545
2241 0.151501 0.011126
2246 0.151565 0.0129517
2251 0.152067 0.023028
2256 0.151508 0.0183906
2261 0.149364 0.0308079
2266 0.153594 0.0331361
2271 0.187856 0.0794275
2276 0.212532 0.134262
2281 0.213887 0.164765
2286 0.21341 0.168842
2291 0.218753 0.176896
2296 0.213626 0.190261
2301 0.208632 0.182678
2306 0.208944 0.197017
2311 0.199167 0.176927
2316 0.192729 0.166628
2321 0.189574 0.159994
2326 0.183174 0.134968
2331 0.179504 0.123473
2336 0.172602 0.0897328
2341 0.163842 0.0869084
2346 0.159962 0.0805534
2351 0.159701 0.0606934
2356 0.1593 0.0591921
2361 0.155076 0.0602608
2366 0.159739 0.0473982
2371 0.158391 0.0518575
2376 0.156902 0.0596438
2381 0.153416 0.056673
2386 0.183429 0.0652481
2391 0.213454 0.0779453
2396 0.231132 0.113651
2401 0.231355 0.148066
2406 0.230802 0.117863
2411 0.217239 0.11764
2416 0.184218 0.113193
2421 0.175903 0.0920865
2426 0.164905 0.048416
2431 0.149784 0.0153372
2436 0.181469 0.0358842
2441 0.185751 0.0618957
2446 0.191374 0.0768575
2451 0.196107 0.0912659
2456 0.187952 0.107017
2461 0.170331 0.100146
2466 0.166081 0.0812913
2471 0.159816 0.0588295
2476 0.161775 0.0447328
2481 0.158651 0.0329962
2486 0.157379 0.0442048
2491 0.158893 0.035229
2496 0.161858 0.0502163
2501 0.165687 0.0445165
2506 0.160674 0.062201
2511 0.180102 0.0641667
2516 0.207996 0.101819
2521 0.209726 0.135172
2526 0.215681 0.140242
2531 0.223384 0.137366
2536 0.237137 0.155903
2541 0.221406 0.16965
2546 0.20222 0.155076
2551 0.171279 0.193193
2556 0.171527 0.139122
2561 0.171081 0.0878626
2566 0.157048 0.0265331
2571 0.147754 0.011902
2576 0.148327 0.0503435
2581 0.148333 0.125108
2586 0.148537 0.10208
2591 0.148779 0.0519211
2596 0.148575 0.0957379
2601 0.14862 0.0906043
2606 0.14876 0.0629898
2611 0.14869 0.156679
2616 0.148944 0.0802926
2621 0.148753 0.077341
2626 0.160083 0.0113359
2631 0.182831 0.0494784
2636 0.183429 0.0801718
2641 0.217055 0.128887
2646 0.256438 0.176094
2651 0.28285 0.280954
2656 0.279357 0.326221
2661 0.292131 0.338346
2666 0.282888 0.332793
2671 0.287875 0.324994
2676 0.276552 0.306635
2681 0.254612 0.27834
2686 0.224676 0.264122
2691 0.214803 0.197048
2696 0.213556 0.153206
2701 0.203499 0.100216
2706 0.19035 0.107665
2711 0.190732 0.0758015
2716 0.191768 0.0647455
2721 0.190025 0.0708206
2726 0.193308 0.0687023
2731 0.211578 0.0913232
2736 0.226749 0.107983
2741 0.233613 0.139695
2746 0.232207 0.155573
2751 0.239122 0.137958
2756 0.240445 0.126075
2761 0.240573 0.135598
2766 0.243327 0.140019
2771 0.245515 0.155751
2776 0.248308 0.143378
2781 0.250693 0.143925
2786 0.253047 0.174052
