frame_number static_density dynamic_density
1916 0.373527 0.263407
1921 0.358115 0.452143
1926 0.340771 0.415797
1931 0.317794 0.376809
1936 0.28116 0.245219
1941 0.261766 0.277218
1946 0.243258 0.175107
1951 0.199437 0.243838
1956 0.153731 0.174986
1961 0.111 0.152026
1966 0.0750061 0.116401
1971 0.038676 0.0398671
1976 0.00716717 0.0220566
1981 0.00740216 0.0188518
1986 0.00672555 0.0204846
1991 0.00696054 0.0198242
1996 0.00666883 0.0168787
2001 0.00827324 0.0199862
2006 0.0687667 0.04167
2011 0.132765 0.0811563
2016 0.195867 0.155457
2021 0.244891 0.194356
2026 0.276967 0.263528
2031 0.321121 0.308423
2036 0.294834 0.303711
2041 0.283648 0.32533
2046 0.244466 0.281383
2051 0.222766 0.315347
2056 0.182331 0.261539
2061 0.128673 0.155384
2066 0.0804513 0.134742
2071 0.0680091 0.0782635
2076 0.0469532 0.103403
2081 0.0174864 0.0311239
2086 0.0120128 0.0261202
2091 0.0108217 0.0220282
2096 0.00958999 0.0222551
2101 0.0214529 0.0196256
2106 0.0511871 0.0494044
2111 0.0969208 0.0918443
2116 0.148914 0.0654201
2121 0.200361 0.144664
2126 0.265696 0.160263
2131 0.316085 0.246362
2136 0.342136 0.245021
2141 0.338931 0.230459
2146 0.335192 0.252301
2151 0.321704 0.277875
2156 0.293542 0.287643
2161 0.290293 0.267847
2166 0.281663 0.214342
2171 0.260234 0.173499
2176 0.22907 0.303403
2181 0.170541 0.28744
2186 0.118358 0.209468
2191 0.0817924 0.13193
2196 0.0505794 0.0912284
2201 0.0219877 0.0550725
2206 0.014387 0.0371404
2211 0.00766145 0.0272952
2216 0.0014545 0.0179645
2221 0.00133701 0.0155903
2226 0.00230127 0.0122235
2231 0.00200956 0.00573292
2236 0.00180698 0.0163074
2241 0.00213111 0.0149097
2246 0.00179888 0.0154282
2251 0.00294141 0.015878
2256 0.00392999 0.0217243
2261 0.00426222 0.0260271
2266 0.00636901 0.0269103
2271 0.0329673 0.0579167
2276 0.0603517 0.121736
2281 0.0728304 0.146147
2286 0.0813467 0.168653
2291 0.087975 0.177218
2296 0.0892553 0.181724
2301 0.0979823 0.200089
2306 0.104769 0.21852
2311 0.0963617 0.216283
2316 0.0772628 0.187748
2321 0.0568957 0.190317
2326 0.0491694 0.154307
2331 0.0450936 0.134308
2336 0.0319828 0.101313
2341 0.0256665 0.0987602
2346 0.019654 0.0822057
2351 0.0132809 0.0527024
2356 0.0120533 0.048663
2361 0.00943197 0.0437363
2366 0.0130905 0.0471558
2371 0.013443 0.0524714
2376 0.0148732 0.0471477
2381 0.0129082 0.0621465
2386 0.0255449 0.0603881
2391 0.0579937 0.0838425
2396 0.0675229 0.118815
2401 0.0680942 0.119354
2406 0.0718621 0.148464
2411 0.0781622 0.143542
2416 0.0624706 0.128721
2421 0.0491127 0.104007
2426 0.0215137 0.0514018
2431 0.00511709 0.0165181
2436 0.0225063 0.0164006
2441 0.0361356 0.0595981
2446 0.043242 0.0872944
2451 0.0494774 0.119913
2456 0.0511709 0.094579
2461 0.055267 0.109906
2466 0.0442063 0.0971558
2471 0.0225711 0.0595252
2476 0.0123248 0.0379426
2481 0.00726845 0.0291427
2486 0.0104813 0.0310996
2491 0.0124868 0.0385949
2496 0.0142817 0.0523701
2501 0.0164897 0.0727453
2506 0.0184021 0.0550401
2511 0.0288996 0.0557653
2516 0.0541204 0.0979945
2521 0.0578519 0.126355
2526 0.0635848 0.137436
2531 0.0716636 0.142586
2536 0.0770399 0.134961
2541 0.0823758 0.160927
2546 0.0857021 0.21779
2551 0.0784661 0.226104
2556 0.0646666 0.163475
2561 0.0357062 0.0804716
2566 0.0144518 0.0342719
2571 0.000802204 0.0198039
2576 0.000530751 0.0219026
2581 0.000563163 0.051969
2586 0.000514545 0.0393931
2591 0.000603679 0.0965846
2596 0.000652297 0.0635321
2601 0.000534803 0.0355684
2606 0.000530751 0.0287659
2611 0.00060773 0.0388421
2616 0.000692813 0.0906207
2621 0.000656349 0.0626084
2626 0.00578964 0.00585852
2631 0.027672 0.0334859
2636 0.0375496 0.0634308
2641 0.0628677 0.10333
2646 0.101386 0.146585
2651 0.138542 0.267612
2656 0.154189 0.280014
2661 0.172587 0.325221
2666 0.169508 0.305222
2671 0.158002 0.335828
2676 0.161936 0.352658
2681 0.154732 0.302812
2686 0.136318 0.196568
2691 0.117584 0.18761
2696 0.0971842 0.16053
2701 0.0695162 0.123264
2706 0.0475731 0.0976217
2711 0.0425006 0.0618345
2716 0.0446317 0.0795884
2721 0.0449964 0.0723969
2726 0.045993 0.0717324
2731 0.0598533 0.0777003
2736 0.0756989 0.0764768
2741 0.0845434 0.0673244
2746 0.0877846 0.0741674
2751 0.0952435 0.0894498
2756 0.0986711 0.0955879
2761 0.10269 0.109404
2766 0.105632 0.127526
2771 0.107694 0.158233
2776 0.109732 0.149951
2781 0.111802 0.155701
2786 0.116907 0.165979
2791 0.118698 0.174581
2796 0.11856 0.16145
2801 0.120189 0.164002
2806 0.12106 0.133725
2811 0.122073 0.0920509
2816 0.123017 0.106154
2821 0.123523 0.0317478
2826 0.124293 0.0358277
2831 0.123361 0.0281339
2836 0.124301 0.0232518
2841 0.124953 0.0529779
2846 0.123957 0.0283607
2851 0.127834 0.0310591
2856 0.136784 0.0444008
2861 0.128503 0.0477433
2866 0.124698 0.0327121
