frame_number static_density dynamic_density
1 0.66748 0.325
6 0.669309 0.29502
11 0.658537 0.255488
16 0.661077 0.196951
21 0.654472 0.205793
26 0.672256 0.197358
31 0.662703 0.197967
36 0.660163 0.197764
41 0.660468 0.195833
46 0.664634 0.263923
51 0.667886 0.204268
56 0.668598 0.181402
61 0.669106 0.235366
66 0.661281 0.181911
71 0.65874 0.123984
76 0.663618 0.0706301
81 0.667785 0.0833333
86 0.672663 0.10437
91 0.665346 0.134045
96 0.653049 0.186585
101 0.643496 0.226931
106 0.629675 0.23689
111 0.631301 0.270833
116 0.640447 0.272053
121 0.638719 0.27063
126 0.638618 0.347358
131 0.637703 0.337195
136 0.639228 0.319817
141 0.639431 0.300203
146 0.641667 0.354573
151 0.652439 0.298882
156 0.651728 0.328354
161 0.652541 0.281301
166 0.657114 0.3
171 0.664939 0.335467
176 0.664736 0.316565
181 0.665244 0.330793
186 0.664634 0.303049
191 0.668801 0.213618
196 0.671138 0.305183
201 0.672663 0.12063
206 0.673374 0.185366
211 0.671646 0.335163
216 0.671037 0.182317
221 0.673984 0.479675
226 0.672358 0.397967
231 0.67124 0.253252
236 0.671951 0.15061
241 0.671951 0.135976
246 0.671646 0.216565
251 0.673577 0.0912602
256 0.673679 0.0976626
261 0.673984 0.0506098
266 0.673882 0.189329
271 0.674594 0.253252
276 0.672459 0.10437
281 0.683232 0.070122
286 0.683028 0.0902439
291 0.670935 0.110874
296 0.662094 0.164126
301 0.664533 0.141057
306 0.667988 0.147154
311 0.671138 0.225711
316 0.672053 0.148374
321 0.665346 0.295935
326 0.669309 0.206199
331 0.672663 0.168699
336 0.671545 0.218801
341 0.672967 0.0538618
346 0.670732 0.239126
351 0.664228 0.0411585
356 0.665447 0.0478659
361 0.665549 0.0828252
366 0.665041 0.0558943
371 0.664533 0.0572154
376 0.666463 0.0408537
381 0.668598 0.0729675
386 0.670325 0.0642276
391 0.667886 0.119004
396 0.664533 0.202033
401 0.655386 0.164634
406 0.652642 0.170732
411 0.658232 0.192276
416 0.661687 0.23374
421 0.648679 0.273069
426 0.633537 0.302134
431 0.618191 0.272256
436 0.60874 0.324797
441 0.60752 0.309248
446 0.592276 0.334451
451 0.591362 0.340142
456 0.584654 0.372053
461 0.573882 0.408028
466 0.57561 0.441565
471 0.575813 0.439431
476 0.579268 0.420325
481 0.578963 0.423781
486 0.574492 0.385061
491 0.575102 0.374492
496 0.573577 0.378862
501 0.578049 0.140142
506 0.584858 0.171037
511 0.586789 0.155894
516 0.586789 0.147561
521 0.576423 0.201829
526 0.571037 0.138313
531 0.573171 0.139329
536 0.587906 0.138415
541 0.591159 0.164431
546 0.594512 0.254675
551 0.589939 0.222256
556 0.588719 0.250508
561 0.594715 0.249695
566 0.590549 0.47876
571 0.59248 0.250508
576 0.595122 0.0705285
581 0.595528 0.133232
586 0.598374 0.131199
591 0.595325 0.121951
596 0.585467 0.153659
601 0.588313 0.153455
606 0.58689 0.1875
611 0.588923 0.198374
616 0.593598 0.20874
621 0.598069 0.26687
626 0.60061 0.208232
631 0.604472 0.218902
636 0.610772 0.248069
641 0.609756 0.139939
646 0.612398 0.217276
651 0.616565 0.138821
656 0.620935 0.162093
661 0.619817 0.182012
666 0.618394 0.205488
671 0.620528 0.267683
676 0.619106 0.194411
681 0.619715 0.188821
686 0.620325 0.219919
691 0.621037 0.210671
696 0.620224 0.392683
701 0.619715 0.243902
706 0.616768 0.277033
711 0.617581 0.322358
716 0.617378 0.301931
721 0.61626 0.487602
726 0.612907 0.350406
731 0.612094 0.228252
736 0.610163 0.369817
741 0.608333 0.24248
746 0.60437 0.199898
751 0.603354 0.454878
756 0.604675 0.222866
761 0.604472 0.324085
766 0.603659 0.25498
771 0.605691 0.368394
776 0.606402 0.244919
781 0.605183 0.27561
786 0.60437 0.192276
791 0.609248 0.023374
796 0.614024 0.0614837
801 0.618902 0.0529472
806 0.621646 0.0716463
811 0.629268 0.104268
816 0.633232 0.0845528
821 0.641159 0.415854
826 0.643801 0.232215
831 0.641768 0.129167
836 0.641768 0.133841
841 0.641565 0.238618
846 0.64502 0.328557
851 0.644309 0.185671
856 0.644004 0.293801
861 0.644207 0.0951219
866 0.643598 0.286789
871 0.642785 0.388415
876 0.642683 0.252337
881 0.647866 0.263923
886 0.645325 0.342175
891 0.645833 0.163211
896 0.646443 0.3875
901 0.648069 0.151321
906 0.649289 0.27815
911 0.65 0.206809
916 0.648679 0.115752
921 0.645732 0.186585
926 0.644309 0.177744
931 0.644512 0.325508
936 0.643598 0.208232
941 0.644207 0.0773374
946 0.644715 0.0658537
951 0.642785 0.0458333
956 0.644309 0.147967
961 0.64502 0.0943089
966 0.643902 0.138008
971 0.642988 0.140549
976 0.641768 0.101728
981 0.645935 0.325711
986 0.646646 0.0505081
991 0.64563 0.124797
996 0.64563 0.134451
1001 0.647764 0.190549
1006 0.644106 0.326626
1011 0.647053 0.0958333
1016 0.647256 0.0724593
1021 0.645427 0.0610772
1026 0.644411 0.0446138
1031 0.645427 0.0673781
1036 0.646443 0.238516
1041 0.644512 0.102541
1046 0.648272 0.124593
1051 0.645325 0.0753049
1056 0.643191 0.0452236
1061 0.642683 0.0816057
1066 0.644004 0.151931
1071 0.643902 0.0803862
1076 0.645325 0.0695122
1081 0.642988 0.110976
1086 0.642683 0.318191
1091 0.64502 0.196748
1096 0.645935 0.156301
1101 0.64563 0.0636179
1106 0.643191 0.124695
1111 0.641972 0.358028
1116 0.641463 0.182622
1121 0.644309 0.0912602
1126 0.64126 0.0767276
1131 0.642785 0.0715447
1136 0.639736 0.0716463
1141 0.637805 0.0659553
1146 0.640142 0.066565
1151 0.641667 0.0384146
1156 0.643191 0.0754065
1161 0.641972 0.210264
1166 0.641972 0.0857724
1171 0.640752 0.0911585
1176 0.640752 0.075
1181 0.640854 0.0853659
1186 0.640041 0.111789
1191 0.641159 0.0461382
1196 0.641057 0.0895325
1201 0.639736 0.184045
1206 0.639024 0.222459
1211 0.640142 0.391565
1216 0.641667 0.193191
1221 0.641463 0.0952236
1226 0.641362 0.153963
1231 0.641565 0.0603659
1236 0.644106 0.135061
1241 0.641768 0.190142
1246 0.641565 0.112297
1251 0.643191 0.106504
1256 0.642073 0.0432927
1261 0.642886 0.379268
1266 0.643089 0.236789
1271 0.642581 0.247866
1276 0.642683 0.157317
1281 0.643394 0.0612805
1286 0.645528 0.282012
1291 0.645122 0.0395325
1296 0.645935 0.136789
1301 0.641972 0.0727642
1306 0.641159 0.0425813
1311 0.638821 0.265752
1316 0.639228 0.0634146
1321 0.640854 0.0773374
1326 0.640752 0.334045
1331 0.640346 0.101829
1336 0.635976 0.252846
1341 0.638821 0.226931
1346 0.637602 0.114431
1351 0.63689 0.116972
1356 0.637297 0.109553
1361 0.639431 0.142378
1366 0.636585 0.0995935
1371 0.635061 0.086687
1376 0.637297 0.0791667
1381 0.639126 0.0614837
1386 0.639634 0.0571138
1391 0.641362 0.0494919
1396 0.64187 0.0458333
1401 0.64248 0.0957317
1406 0.640752 0.0659553
1411 0.642988 0.112805
1416 0.641057 0.115854
1421 0.64126 0.225203
1426 0.636484 0.230691
1431 0.639024 0.251016
1436 0.631098 0.334654
1441 0.617175 0.379472
1446 0.620833 0.45874
1451 0.614837 0.518902
1456 0.60813 0.485467
1461 0.605996 0.515854
1466 0.598374 0.511687
1471 0.6 0.59248
1476 0.602744 0.801626
1481 0.59065 0.771037
1486 0.577947 0.708232
1491 0.568293 0.739533
1496 0.568089 0.796138
1501 0.569614 0.823984
1506 0.587398 0.87063
1511 0.596341 0.938516
1516 0.60498 0.918699
1521 0.610874 0.944207
1526 0.607317 0.934756
1531 0.598272 0.901016
1536 0.569919 0.928252
1541 0.550813 0.921545
1546 0.574187 0.916565
1551 0.575711 0.923679
1556 0.585772 0.897459
1561 0.583943 0.886992
1566 0.597764 0.888415
1571 0.60874 0.932419
1576 0.631606 0.87002
1581 0.637805 0.92063
1586 0.617175 0.903862
1591 0.587297 0.88252
1596 0.562297 0.888719
1601 0.587297 0.928455
1606 0.600203 0.864533
1611 0.596748 0.813313
1616 0.594817 0.858943
1621 0.579268 0.866463
1626 0.606301 0.900711
1631 0.59624 0.870224
1636 0.588008 0.838821
1641 0.560467 0.85813
1646 0.536077 0.877846
1651 0.531199 0.799594
1656 0.537195 0.852236
1661 0.540041 0.809858
1666 0.546138 0.828659
1671 0.560874 0.871138
1676 0.561077 0.909756
1681 0.542581 0.888821
1686 0.536789 0.864329
1691 0.545427 0.825305
1696 0.567581 0.768598
1701 0.592785 0.743394
1706 0.589736 0.692378
1711 0.55874 0.786382
1716 0.532114 0.709553
1721 0.507317 0.67937
1726 0.483333 0.791972
1731 0.481301 0.798272
1736 0.503963 0.792073
1741 0.530081 0.826829
1746 0.543394 0.834045
1751 0.574898 0.79065
1756 0.634959 0.74685
1761 0.644106 0.725203
1766 0.651931 0.751931
1771 0.667988 0.76565
1776 0.659451 0.776931
1781 0.647967 0.797053
1786 0.651728 0.730386
1791 0.663618 0.67185
1796 0.684756 0.653862
1801 0.720935 0.672866
1806 0.702337 0.701118
1811 0.679878 0.743089
1816 0.651728 0.722256
1821 0.615041 0.698679
1826 0.585467 0.598272
1831 0.593801 0.593902
1836 0.612398 0.652947
1841 0.643089 0.568699
1846 0.618293 0.502541
1851 0.626118 0.439329
1856 0.644715 0.378354
1861 0.651728 0.406504
1866 0.631098 0.465447
1871 0.638313 0.458333
1876 0.647358 0.516972
1881 0.642276 0.575508
1886 0.617785 0.6375
1891 0.595833 0.536281
1896 0.580691 0.673984
1901 0.585569 0.641362
1906 0.524898 0.72124
1911 0.535264 0.736077
1916 0.561789 0.748374
1921 0.596545 0.683638
1926 0.652642 0.54126
1931 0.674695 0.534248
1936 0.706911 0.538821
1941 0.694614 0.480183
1946 0.70061 0.40498
1951 0.696138 0.341463
1956 0.693089 0.26626
1961 0.677744 0.208435
1966 0.683232 0.168293
1971 0.681707 0.126524
1976 0.681606 0.0906504
1981 0.682317 0.0909553
1986 0.69939 0.220122
1991 0.69878 0.077439
1996 0.697764 0.0697154
2001 0.719614 0.151524
2006 0.747154 0.140142
2011 0.727033 0.283841
2016 0.698374 0.319004
2021 0.632927 0.431301
2026 0.52561 0.571748
2031 0.481911 0.597764
2036 0.504065 0.587398
2041 0.511484 0.41372
2046 0.647967 0.42937
2051 0.70874 0.409451
2056 0.712805 0.327744
2061 0.736992 0.350508
2066 0.730589 0.239837
2071 0.719207 0.198679
2076 0.712195 0.126016
2081 0.709654 0.109959
2086 0.708435 0.0908537
2091 0.706707 0.0464431
2096 0.70437 0.0495935
2101 0.710569 0.065752
2106 0.70935 0.141768
2111 0.688008 0.185874
2116 0.642683 0.206301
2121 0.601016 0.287805
2126 0.595732 0.312093
2131 0.560772 0.439329
2136 0.535874 0.391768
2141 0.544004 0.385366
2146 0.541565 0.378963
2151 0.540142 0.326423
2156 0.578659 0.313618
2161 0.55498 0.458435
2166 0.534654 0.465752
2171 0.540041 0.356098
2176 0.563313 0.33872
2181 0.602236 0.392581
2186 0.646138 0.350203
2191 0.689329 0.216972
2196 0.704167 0.174797
2201 0.699187 0.143902
2206 0.701829 0.0868902
2211 0.70061 0.0619919
2216 0.70061 0.0302846
2221 0.701219 0.117785
2226 0.701829 0.0447154
2231 0.701728 0.0478659
2236 0.701728 0.0554878
2241 0.700305 0.0831301
2246 0.700406 0.0770325
2251 0.701321 0.0676829
2256 0.701423 0.0329268
2261 0.705183 0.0604675
2266 0.705183 0.0773374
2271 0.719512 0.146138
2276 0.693801 0.217886
2281 0.670833 0.27378
2286 0.67622 0.326016
2291 0.670935 0.343699
2296 0.686789 0.331199
2301 0.689533 0.32124
2306 0.678963 0.38313
2311 0.703049 0.347154
2316 0.714532 0.354167
2321 0.705183 0.40061
2326 0.693394 0.337398
2331 0.704268 0.237703
2336 0.701728 0.270224
2341 0.704776 0.181504
2346 0.707724 0.155488
2351 0.698577 0.134045
2356 0.694106 0.168191
2361 0.690041 0.23374
2366 0.694715 0.145935
2371 0.700915 0.162093
2376 0.707825 0.153049
2381 0.712398 0.155285
2386 0.71748 0.179776
2391 0.695224 0.088313
2396 0.638008 0.317886
2401 0.62561 0.265142
2406 0.628963 0.24939
2411 0.620732 0.276829
2416 0.661687 0.243699
2421 0.674797 0.161077
2426 0.703252 0.0884146
2431 0.706707 0.0569106
2436 0.705996 0.0965447
2441 0.692886 0.187093
2446 0.699085 0.24187
2451 0.689939 0.228557
2456 0.684858 0.255488
2461 0.688618 0.19126
2466 0.705996 0.156809
2471 0.709146 0.142073
2476 0.710874 0.100305
2481 0.701423 0.112805
2486 0.697358 0.145122
2491 0.703557 0.137195
2496 0.700508 0.146646
2501 0.701118 0.184553
2506 0.717886 0.178963
2511 0.728252 0.177439
2516 0.711585 0.236077
2521 0.687093 0.312805
2526 0.655386 0.297154
2531 0.664533 0.338821
2536 0.672561 0.345427
2541 0.648984 0.356504
2546 0.679776 0.402744
2551 0.693191 0.330589
2556 0.681301 0.213211
2561 0.700711 0.160976
2566 0.712297 0.107114
2571 0.713821 0.0567073
2576 0.713923 0.255589
2581 0.714126 0.212195
2586 0.716667 0.335061
2591 0.717073 0.315244
2596 0.717581 0.276016
2601 0.718902 0.399898
2606 0.716972 0.276931
2611 0.716057 0.432114
2616 0.715854 0.430996
2621 0.716768 0.436179
2626 0.724797 0.0317073
2631 0.716768 0.11128
2636 0.702541 0.176931
2641 0.708537 0.296748
2646 0.680589 0.354268
2651 0.636789 0.47378
2656 0.604065 0.585874
2661 0.627236 0.590955
2666 0.649492 0.609045
2671 0.644817 0.574695
2676 0.61748 0.481098
2681 0.61626 0.45935
2686 0.646951 0.464431
2691 0.629573 0.363618
2696 0.63811 0.27378
2701 0.668293 0.248882
2706 0.67876 0.208943
2711 0.672764 0.17063
2716 0.675102 0.14248
2721 0.677947 0.124898
2726 0.682419 0.130996
2731 0.691463 0.163313
2736 0.703557 0.160163
2741 0.687703 0.228557
2746 0.685569 0.230081
2751 0.683232 0.208638
2756 0.683232 0.325915
2761 0.688923 0.314634
2766 0.682419 0.358841
2771 0.680183 0.289431
2776 0.679472 0.329776
2781 0.675305 0.330488
2786 0.684756 0.359146
2791 0.689736 0.346545
2796 0.690142 0.333435
2801 0.690752 0.348069
2806 0.687907 0.349695
2811 0.69502 0.244004
2816 0.694106 0.24685
2821 0.695325 0.134248
2826 0.694715 0.0291667
2831 0.696545 0.0713415
2836 0.699289 0.20437
2841 0.699898 0.086687
2846 0.696748 0.111484
2851 0.697154 0.12815
2856 0.69563 0.119309
2861 0.692886 0.0863821
2866 0.69624 0.14685
2871 0.695427 0.13811
2876 0.695528 0.137602
2881 0.695935 0.112195
2886 0.693394 0.14126
2891 0.68435 0.191667
2896 0.688211 0.171138
2901 0.684146 0.147764
2906 0.683841 0.17124
2911 0.679167 0.237602
2916 0.677744 0.10813
2921 0.677642 0.143293
2926 0.679776 0.136077
2931 0.680183 0.169004
2936 0.687195 0.229573
2941 0.686484 0.181606
2946 0.693293 0.162703
2951 0.690244 0.112805
2956 0.685671 0.176321
