frame_number static_density dynamic_density
1 0.0700997 0.0987319
26 0.104991 0.15045
51 0.11899 0.122146
76 0.125885 0.112005
101 0.185621 0.0856697
126 0.199433 0.180873
151 0.215347 0.205656
176 0.198456 0.155137
201 0.196086 0.112791
226 0.197022 0.0542946
251 0.19464 0.0374119
276 0.194753 0.0266429
301 0.199955 0.0498825
326 0.196034 0.0622518
351 0.201536 0.0341869
376 0.197107 0.0500122
401 0.213706 0.0520865
426 0.291553 0.125711
451 0.351613 0.277607
476 0.369439 0.296568
501 0.377858 0.295041
526 0.461134 0.0960335
551 0.474625 0.15662
576 0.472555 0.176858
601 0.544166 0.0786768
626 0.610129 0.0796532
651 0.620505 0.143546
676 0.626238 0.0942833
701 0.633822 0.0898347
726 0.643817 0.127923
751 0.653561 0.0911596
776 0.663066 0.0505145
801 0.655068 0.0280123
826 0.739033 0.0478973
851 0.776586 0.0408395
876 0.778183 0.0307431
901 0.772429 0.056057
926 0.771044 0.014776
951 0.766607 0.0381898
976 0.770112 0.0482903
1001 0.762082 0.0471072
1026 0.752698 0.041038
1051 0.758156 0.0554858
1076 0.750993 0.0400494
1101 0.757151 0.0479661
1126 0.755466 0.053618
1151 0.758391 0.0526213
1176 0.753821 0.0407747
1201 0.76935 0.0483348
1226 0.76653 0.0459525
1251 0.760076 0.0390203
1276 0.752796 0.0456324
1301 0.751297 0.0447411
1326 0.727121 0.0348797
1351 0.727437 0.0538854
1376 0.732546 0.0507698
1401 0.735678 0.0256867
1426 0.755109 0.133206
1451 0.766328 0.346605
1476 0.804906 0.563925
1501 0.834957 0.693789
1526 0.828632 0.539243
1551 0.772705 0.572166
1576 0.755166 0.657884
1601 0.751151 0.740183
1626 0.703578 0.779929
1651 0.706146 0.644559
1676 0.749064 0.686472
1701 0.7201 0.626764
1726 0.650466 0.619504
1751 0.401155 0.544336
1776 0.383518 0.367673
1801 0.323138 0.558966
1826 0.278166 0.425051
1851 0.182364 0.38315
1876 0.185386 0.266332
1901 0.303257 0.495138
1926 0.339142 0.386346
1951 0.188672 0.417875
1976 0.0064541 0.158723
2001 0.0161211 0.032392
2026 0.289968 0.27546
2051 0.218495 0.436585
2076 0.0394052 0.115412
2101 0.0270805 0.0543392
2126 0.27078 0.201155
2151 0.317742 0.247512
2176 0.212163 0.300839
2201 0.021072 0.176388
2226 0.0014383 0.0363018
2251 0.00290495 0.009355
2276 0.0624463 0.086164
2301 0.101191 0.180204
2326 0.0486306 0.234175
2351 0.0143222 0.0884288
2376 0.0148043 0.0611255
2401 0.0686614 0.115813
2426 0.0192083 0.142144
2451 0.0503241 0.0549631
2476 0.0112552 0.0908881
2501 0.0165829 0.0689328
2526 0.0652783 0.119622
2551 0.0743173 0.110007
2576 0.000522648 0.0955271
2601 0.000530751 0.0748845
2626 0.0123329 0.0109675
2651 0.14116 0.15632
2676 0.162714 0.366696
2701 0.0647922 0.234037
2726 0.0461794 0.104773
2751 0.0955798 0.136938
2776 0.10991 0.21465
2801 0.120343 0.219443
2826 0.123969 0.119366
2851 0.130998 0.0488858
2876 0.127064 0.0530062
2901 0.137132 0.0612876
2926 0.137643 0.075468
2951 0.188052 0.110214
2976 0.32452 0.135864
3001 0.466737 0.193526
3026 0.640981 0.275877
3051 0.64652 0.460404
3076 0.658614 0.171416
3101 0.66982 0.261393
3126 0.657734 0.182027
3151 0.663508 0.145333
3176 0.656827 0.0801718
3201 0.663771 0.10218
3226 0.658691 0.0904505
3251 0.651333 0.0467102
3276 0.65579 0.0450612
3301 0.671011 0.0296248
3326 0.66448 0.0450814
3351 0.645543 0.06431
3376 0.649716 0.0425897
3401 0.656328 0.0434568
3426 0.647306 0.0950895
3451 0.709128 0.04921
3476 0.705875 0.0393526
3501 0.715554 0.0677498
3526 0.725569 0.0731829
3551 0.717093 0.0392189
3576 0.711689 0.0372984
3601 0.7072 0.0322219
3626 0.70425 0.0480472
3651 0.713763 0.0460214
3676 0.716619 0.0558018
3701 0.705636 0.0924682
3726 0.690434 0.082785
3751 0.684819 0.0748481
3776 0.682668 0.0622194
3801 0.668151 0.0392594
3826 0.791674 0.0868082
3851 0.797581 0.0189895
3876 0.794822 0.0719796
3901 0.792375 0.066036
3926 0.791848 0.0484726
3951 0.792468 0.023037
3976 0.79652 0.0937849
4001 0.794879 0.0858723
4026 0.795794 0.0251519
4051 0.783158 0.0310186
4076 0.794028 0.0555628
4101 0.79387 0.0598655
4126 0.792991 0.0780771
4151 0.786071 0.314383
4176 0.790973 0.345406
4201 0.806616 0.298076
4226 0.822462 0.526274
4251 0.805571 0.366449
4276 0.754359 0.413889
4301 0.708958 0.373333
4326 0.638546 0.559278
4351 0.616575 0.631339
4376 0.595361 0.591099
4401 0.516919 0.652159
4426 0.508622 0.615769
4451 0.485009 0.536399
4476 0.512985 0.708849
4501 0.482254 0.518819
4526 0.715785 0.535204
4551 0.711061 0.474629
4576 0.523134 0.463848
4601 0.493343 0.55457
4626 0.369265 0.41841
4651 0.446961 0.478515
4676 0.324945 0.391788
4701 0.290536 0.46576
4726 0.417369 0.458135
4751 0.303213 0.443445
4776 0.115428 0.356089
4801 0.000299814 0.181375
4826 0.000117495 0.0849202
4851 0.00140993 0.0450531
4876 0.000700916 0.0280326
4901 0.00479702 0.0137469
4926 0.0406734 0.0583705
4951 0.10707 0.132809
4976 0.0762661 0.183146
5001 0.0931853 0.216713
5026 0.0163723 0.116838
5051 0.0532291 0.0586905
5076 0.231436 0.227656
5101 0.127518 0.230597
5126 0.0055506 0.1258
5151 5.67215e-05 0.0875051
5176 5.267e-05 0.103975
5201 0 0.112345
5226 6.88761e-05 0.0875699
5251 9.72369e-05 0.0290374
5276 0.0581112 0.0403655
5301 0.145483 0.190151
5326 0.158439 0.246188
5351 0.199785 0.153654
5376 0.24987 0.255777
5401 0.296706 0.258832
5426 0.344907 0.335913
5451 0.413658 0.310335
5476 0.4003 0.320468
5501 0.504485 0.0859169
5526 0.566311 0.105648
5551 0.661717 0.196657
5576 0.69088 0.144081
5601 0.699441 0.177834
5626 0.70957 0.15818
5651 0.790613 0.091427
5676 0.78552 0.0966129
5701 0.783932 0.0705818
5726 0.770233 0.088603
