frame_number static_density dynamic_density
1 0.00021068 0.0180212
6 0.065878 0.0562191
11 0.124885 0.16702
16 0.0830889 0.16352
21 0.0366097 0.106798
26 0.0136942 0.0478729
31 0.0261729 0.0495746
36 0.0288793 0.0626367
41 0.0251357 0.059671
46 0.0126894 0.036869
51 0.000405154 0.0159306
56 0.0377927 0.0367555
61 0.0574184 0.0751155
66 0.0259947 0.0563974
71 0.000777895 0.0262215
76 0.000226886 0.065327
81 0.0170651 0.0202901
86 0.0711936 0.106717
91 0.141674 0.176955
96 0.181655 0.252168
101 0.143878 0.229949
106 0.0814034 0.137866
111 0.0760716 0.115874
116 0.0954704 0.130022
121 0.116166 0.167102
126 0.111709 0.171445
131 0.077984 0.149404
136 0.0561543 0.111093
141 0.0375334 0.0770278
146 0.0172109 0.0399643
151 0.00314399 0.00881614
156 0.00021068 0.118078
161 0.00021068 0.0449072
166 0.00021068 0.0603841
171 0.000226886 0.109667
176 0.00021068 0.140507
181 0.00021068 0.0738514
186 0.00021068 0.0822138
191 0.00021068 0.200113
196 0.000226886 0.12362
201 0.00021068 0.171023
206 0.00021068 0.174978
211 0.00021068 0.106183
216 0.00021068 0.0783567
221 0.00021068 0.226983
226 0.00021068 0.0851795
231 0.00021068 0.179694
236 0.00021068 0.0837695
241 0.00021068 0.173179
246 0.000226886 0.137963
251 0.000226886 0.112114
256 0.00021068 0.10265
261 0.00021068 0.158059
266 0.00021068 0.182173
271 0.000226886 0.093477
276 0.00701726 0.0111498
281 0.0528644 0.0576939
286 0.0909327 0.104205
291 0.0869622 0.143716
296 0.0592334 0.0393809
301 0.0318775 0.0631229
306 0.0209059 0.038992
311 0.018945 0.019496
316 0.00709829 0.011166
321 0.00050239 0.062896
326 0.000226886 0.0660238
331 0.000226886 0.122664
336 0.000194474 0.113281
341 0.00319261 0.0110688
346 0.0232072 0.0444859
351 0.0290414 0.0699619
356 0.0329957 0.0675634
361 0.0301758 0.0683413
366 0.0180212 0.0499959
371 0.0101288 0.0325257
376 0.00113443 0.0144397
381 0.000729276 0.00491046
386 0.0236934 0.0510169
391 0.0432056 0.125063
396 0.0537558 0.163309
401 0.0482619 0.150328
406 0.0648894 0.134057
411 0.0993923 0.166421
416 0.153634 0.214067
421 0.189693 0.233401
426 0.216352 0.256219
431 0.235167 0.277157
436 0.250563 0.299619
441 0.242606 0.27719
446 0.231877 0.315388
451 0.227794 0.302715
456 0.232591 0.2733
461 0.227048 0.330913
466 0.218183 0.309635
471 0.209659 0.292586
476 0.204457 0.273187
481 0.197926 0.259136
486 0.192723 0.248408
491 0.190422 0.239316
496 0.188542 0.238182
501 0.215104 0.0458634
506 0.295114 0.123377
511 0.365821 0.225849
516 0.400778 0.301191
521 0.40585 0.30312
526 0.405672 0.219496
531 0.38966 0.0973989
536 0.362645 0.0463334
541 0.341544 0.00610972
546 0.330832 0.216125
551 0.324463 0.174686
556 0.321271 0.135807
561 0.319569 0.126894
566 0.315355 0.213078
571 0.328304 0.0257029
576 0.359274 0.0692164
581 0.40128 0.030111
586 0.437825 0.108208
591 0.472992 0.154704
596 0.567069 0.178705
601 0.631213 0.248213
606 0.658148 0.271971
611 0.701629 0.232104
616 0.704675 0.192124
621 0.71354 0.254404
626 0.708581 0.296605
631 0.710591 0.31166
636 0.714043 0.319844
641 0.714221 0.20987
646 0.714124 0.231002
651 0.721319 0.228037
656 0.721546 0.226627
661 0.723896 0.255587
666 0.731254 0.246593
671 0.745223 0.255312
676 0.754153 0.258601
681 0.761818 0.250741
686 0.765886 0.248829
691 0.771202 0.249964
696 0.783518 0.249931
701 0.786452 0.243708
706 0.788396 0.23802
711 0.790487 0.191686
716 0.79039 0.256965
721 0.800794 0.189045
726 0.801993 0.129325
731 0.800956 0.197893
736 0.80248 0.157864
741 0.804538 0.107933
746 0.809918 0.167442
751 0.811198 0.278259
756 0.810421 0.217811
761 0.810696 0.266964
766 0.812689 0.0550847
771 0.819253 0.242606
776 0.820598 0.0736083
781 0.819804 0.120023
786 0.821133 0.0305162
791 0.825233 0.0376145
796 0.821003 0.083251
801 0.818151 0.0902844
806 0.807844 0.119018
811 0.808168 0.142565
816 0.820241 0.159679
821 0.833968 0.19133
826 0.837906 0.091273
831 0.839981 0.0799125
836 0.84071 0.133928
841 0.84152 0.0936715
846 0.84327 0.26745
851 0.843643 0.112941
856 0.843125 0.109067
861 0.843659 0.117673
866 0.843368 0.0941253
871 0.841779 0.246204
876 0.841925 0.147994
881 0.842071 0.129082
886 0.84212 0.111271
891 0.842249 0.0260595
896 0.842104 0.0547768
901 0.842493 0.0363828
906 0.840694 0.165513
911 0.840694 0.0888097
916 0.840613 0.0457175
921 0.841601 0.0479378
926 0.84199 0.0427032
931 0.839997 0.12012
936 0.839818 0.0778219
941 0.84024 0.0986954
946 0.840159 0.0952273
951 0.840532 0.101288
956 0.840159 0.0857953
961 0.840045 0.12738
966 0.8387 0.00784377
971 0.839381 0.0081841
976 0.839138 0.0663317
981 0.8399 0.181833
986 0.839818 0.111417
991 0.839705 0.11529
996 0.839835 0.0705615
1001 0.840062 0.0564946
1006 0.83883 0.176566
1011 0.838457 0.187894
1016 0.838554 0.0830403
1021 0.838895 0.0582611
1026 0.839284 0.0293493
1031 0.838765 0.0395592
1036 0.837485 0.199546
