method argument1 argument2 static_error dynamic_error runtime
0 0 0 0 0 190
1 2 0 0.0115185 0.0590162 118
1 3 0 0.0188603 0.0694066 92
1 4 0 0.0267869 0.0771302 77
1 5 0 0.0343873 0.088273 66
2 1728 979 0.0580893 0.0244657 238
2 1536 870 0.0905286 0.0410368 199
2 1344 762 0.12773 0.0393517 169
2 1152 653 0.147644 0.0523293 145
2 960 544 0.146699 0.0828797 121
2 768 435 0.225315 0.0885659 103
2 576 326 0.284909 0.131967 81
2 384 218 0.371802 0.185422 64
2 192 109 0.532399 0.327676 52
3 2 0 4.06268e-07 0.0393468 186
3 3 0 3.1659e-07 0.0551202 217
3 4 0 3.30013e-07 0.0734956 235
4 2 0 0.00379648 0.0212468 123
4 3 0 0.00395872 0.026789 107
4 4 0 0.00452649 0.0300306 100
4 5 0 0.00463673 0.0323744 109
4 6 0 0.00483231 0.0347589 98
5 1 0 0 0.108088 135
