frame_number static_density dynamic_density
1 0.297865 0.0981079
6 0.297865 0.0981079
11 0.318742 0.162377
16 0.318742 0.162377
21 0.320229 0.0826635
26 0.320229 0.0826635
31 0.333932 0.0854752
36 0.333932 0.0854752
41 0.341561 0.11386
46 0.341561 0.11386
51 0.336375 0.0815777
56 0.336375 0.0815777
61 0.336901 0.0991492
66 0.336901 0.0991492
71 0.333563 0.0266145
76 0.333563 0.0266145
81 0.344263 0.0373389
86 0.344263 0.0373389
91 0.369994 0.0840977
96 0.369994 0.0840977
101 0.382688 0.107475
106 0.382688 0.107475
111 0.38584 0.128851
116 0.38584 0.128851
121 0.401933 0.122154
126 0.401933 0.122154
131 0.407313 0.112928
136 0.407313 0.112928
141 0.411166 0.145171
146 0.411166 0.145171
151 0.401961 0.152419
156 0.401961 0.152419
161 0.395697 0.13761
166 0.395697 0.13761
171 0.391091 0.143347
176 0.391091 0.143347
181 0.392326 0.133328
186 0.392326 0.133328
191 0.38804 0.0903979
196 0.38804 0.0903979
201 0.387444 0.0317478
206 0.387444 0.0317478
211 0.390361 0.0306458
216 0.390361 0.0306458
221 0.391232 0.0622316
226 0.391232 0.0622316
231 0.391358 0.0442873
236 0.391358 0.0442873
241 0.388591 0.031286
246 0.388591 0.031286
251 0.386504 0.0418321
256 0.386504 0.0418321
261 0.38678 0.0189571
266 0.38678 0.0189571
271 0.386764 0.0358358
276 0.386764 0.0358358
281 0.383879 0.0232315
286 0.383879 0.0232315
291 0.3833 0.0354185
296 0.3833 0.0354185
301 0.380982 0.0573009
306 0.380982 0.0573009
311 0.382854 0.0381452
316 0.382854 0.0381452
321 0.382967 0.0428166
326 0.382967 0.0428166
331 0.386245 0.070359
336 0.386245 0.070359
341 0.388421 0.0209019
346 0.388421 0.0209019
351 0.389895 0.026335
356 0.389895 0.026335
361 0.389442 0.0300502
366 0.389442 0.0300502
371 0.387027 0.0352605
376 0.387027 0.0352605
381 0.385824 0.0213354
386 0.385824 0.0213354
391 0.388737 0.0478567
396 0.388737 0.0478567
401 0.401171 0.062815
406 0.401171 0.062815
411 0.401823 0.100053
416 0.401823 0.100053
421 0.414488 0.158686
426 0.414488 0.158686
431 0.452172 0.132785
436 0.452172 0.132785
