frame_number static_density dynamic_density
1 0.0698363 0.0981079
21 0.0979459 0.137764
41 0.115124 0.0996111
61 0.135013 0.102544
81 0.135038 0.0616644
101 0.185617 0.0910623
121 0.195466 0.182757
141 0.216174 0.19607
161 0.205036 0.166032
181 0.197597 0.144024
201 0.196228 0.069654
221 0.197942 0.0383113
241 0.195572 0.0387772
261 0.194405 0.0327607
281 0.203205 0.0269346
301 0.199303 0.0567093
321 0.19558 0.051572
341 0.197642 0.0589296
361 0.200413 0.0306863
381 0.196678 0.0309983
401 0.213374 0.0507374
421 0.275257 0.140511
441 0.335775 0.234086
461 0.363881 0.268386
481 0.369002 0.2877
501 0.375958 0.274435
521 0.443064 0.0927194
541 0.468301 0.136914
561 0.45897 0.122834
581 0.473795 0.225622
601 0.532449 0.0693015
621 0.588599 0.0946601
641 0.598035 0.127129
661 0.602962 0.0824204
681 0.610015 0.105474
701 0.61333 0.108443
721 0.623859 0.114865
741 0.627652 0.0746212
761 0.638976 0.0343732
781 0.647172 0.0779353
801 0.639511 0.0264565
821 0.67452 0.0379386
841 0.740467 0.052516
861 0.758772 0.0351876
881 0.758792 0.0477757
901 0.75741 0.0288307
921 0.755328 0.0178835
941 0.757102 0.0245361
961 0.758285 0.0455595
981 0.741164 0.0368811
1001 0.747468 0.0524228
1021 0.744223 0.0398469
1041 0.73977 0.044494
1061 0.733765 0.0378373
1081 0.736626 0.0214326
1101 0.744579 0.0545134
1121 0.741731 0.0380196
1141 0.740746 0.0445264
1161 0.739766 0.060688
1181 0.738664 0.044263
1201 0.761863 0.0297585
1221 0.753221 0.0476623
1241 0.745219 0.0400535
1261 0.727903 0.0464752
1281 0.741727 0.0312535
1301 0.744393 0.0298152
1321 0.719788 0.0360627
1341 0.712454 0.0533709
1361 0.71474 0.0516692
1381 0.720639 0.0398104
1401 0.723612 0.0455555
1421 0.7431 0.0927194
1441 0.744482 0.291382
1461 0.770971 0.277514
1481 0.790171 0.567948
1501 0.818674 0.690677
1521 0.826351 0.707159
1541 0.776619 0.589648
1561 0.7362 0.673195
1581 0.765189 0.558682
1601 0.742189 0.670841
1621 0.693303 0.771145
1641 0.720399 0.748173
1661 0.722437 0.583907
1681 0.721056 0.66653
1701 0.711652 0.673868
1721 0.654736 0.643493
1741 0.486217 0.551155
1761 0.369358 0.509185
1781 0.377259 0.504781
1801 0.321992 0.287639
1821 0.291933 0.47657
1841 0.233024 0.433012
1861 0.150579 0.321935
1881 0.221939 0.347136
1901 0.307431 0.502249
1921 0.337225 0.510109
1941 0.243388 0.391613
1961 0.098347 0.147601
1981 0.00736164 0.0903087
2001 0.016194 0.0430759
2021 0.250786 0.19248
2041 0.266239 0.365043
2061 0.109209 0.313273
2081 0.0146058 0.12768
2101 0.0271818 0.0489101
2121 0.21277 0.151459
2141 0.338595 0.205757
2161 0.285581 0.278191
2181 0.156361 0.251519
2201 0.0195365 0.0907017
2221 0.00113443 0.0365894
2241 0.00200956 0.00809902
2261 0.00442833 0.0185479
2281 0.0753586 0.115793
2301 0.100766 0.221971
2321 0.0546876 0.219451
2341 0.0248724 0.12283
2361 0.009906 0.0767482
2381 0.0127542 0.0647962
2401 0.0678673 0.129268
2421 0.0413257 0.161369
2441 0.0356495 0.0670853
2461 0.0577101 0.0925371
2481 0.00838263 0.0577546
2501 0.0166275 0.0781177
2521 0.058804 0.1277
2541 0.0828985 0.161952
2561 0.033567 0.123106
2581 0.000538854 0.0128029
2601 0.000534803 0.0604368
2621 0.000676606 0.118305
2641 0.069419 0.069107
2661 0.176505 0.217061
2681 0.148258 0.301754
2701 0.064306 0.134511
2721 0.0436391 0.0987643
2741 0.0843975 0.121064
2761 0.101556 0.215894
2781 0.113723 0.143846
2801 0.120367 0.190868
2821 0.123965 0.114043
2841 0.12469 0.0478729
2861 0.125403 0.0412446
2881 0.130443 0.0391905
2901 0.136431 0.0802001
2921 0.137558 0.0693015
2941 0.148489 0.083413
2961 0.241929 0.120849
2981 0.343141 0.158188
3001 0.466482 0.17926
3021 0.618216 0.301916
3041 0.670768 0.436123
3061 0.648197 0.168981
3081 0.658901 0.144656
3101 0.667247 0.213755
3121 0.657479 0.178713
3141 0.66826 0.147735
3161 0.663577 0.0684264
3181 0.663107 0.0978486
3201 0.661693 0.124009
3221 0.657252 0.0828661
3241 0.656397 0.0508994
3261 0.652018 0.0359169
3281 0.660485 0.0306499
3301 0.667855 0.0234989
3321 0.665355 0.047719
3341 0.649506 0.0656106
3361 0.654611 0.0824488
3381 0.648225 0.0310307
3401 0.652601 0.0566486
3421 0.64652 0.0660562
3441 0.677721 0.0472085
3461 0.707354 0.0619399
3481 0.705777 0.0468682
3501 0.713435 0.0191881
3521 0.712094 0.0775099
3541 0.705526 0.191135
3561 0.70457 0.0250466
3581 0.696868 0.0410907
3601 0.694105 0.0516287
3621 0.703744 0.0749007
3641 0.712114 0.0401305
3661 0.716149 0.0463091
3681 0.698582 0.0278989
3701 0.690844 0.0701726
3721 0.679694 0.0761365
3741 0.679422 0.0595819
3761 0.67817 0.0834819
3781 0.672336 0.0617495
3801 0.672474 0.0397213
3821 0.788935 0.0686249
3841 0.798217 0.0247306
3861 0.795187 0.0354631
3881 0.796155 0.0778705
