frame_number static_density dynamic_density
3826 0.793578 0.426785
3831 0.796844 0.013131
3836 0.798027 0.0208695
3841 0.798566 0.0232234
3846 0.798764 0.0319464
3851 0.79765 0.0229722
3856 0.795106 0.0282149
3861 0.795709 0.0369541
3866 0.795584 0.045438
3871 0.795762 0.0700429
3876 0.795782 0.0338506
3881 0.795406 0.0390244
3886 0.795203 0.0254761
3891 0.794709 0.0352889
3896 0.79353 0.0648448
3901 0.793112 0.0412487
3906 0.793023 0.0467466
3911 0.792813 0.0296856
3916 0.789721 0.0249656
3921 0.79013 0.057787
3926 0.791249 0.0192245
3931 0.791885 0.025079
3936 0.792359 0.0233774
3941 0.793396 0.0220241
3946 0.793842 0.046698
3951 0.793347 0.032858
3956 0.793716 0.0250871
3961 0.794081 0.0295154
3966 0.794567 0.0254963
3971 0.797561 0.0622518
3976 0.796341 0.0159793
3981 0.793432 0.0190746
3986 0.791942 0.0164006
3991 0.794879 0.0227696
3996 0.796212 0.101754
4001 0.795608 0.0260311
4006 0.795171 0.0240702
4011 0.795612 0.0263309
4016 0.796135 0.0138725
4021 0.796471 0.0589093
4026 0.796451 0.0216068
4031 0.796483 0.015801
4036 0.796252 0.0200267
4041 0.791301 0.0160036
4046 0.781201 0.0484888
4051 0.784231 0.072879
4056 0.782364 0.0318248
4061 0.787943 0.0109675
4066 0.792744 0.0138603
4071 0.795503 0.059825
4076 0.795628 0.0146382
4081 0.79592 0.0140953
4086 0.796208 0.03003
4091 0.795365 0.0164897
4096 0.796876 0.0371526
4101 0.795248 0.0770075
4106 0.79434 0.0950774
4111 0.794518 0.0493153
4116 0.794822 0.00884045
4121 0.795211 0.0746009
4126 0.794417 0.0202253
4131 0.79451 0.140649
4136 0.792464 0.208593
4141 0.791326 0.204817
4146 0.790276 0.2594
4151 0.789138 0.25515
4156 0.787213 0.26948
4161 0.786577 0.264938
4166 0.788506 0.206616
4171 0.79075 0.294632
4176 0.794976 0.147776
4181 0.799153 0.170578
4186 0.805121 0.145592
4191 0.810441 0.170209
4196 0.809659 0.19449
4201 0.808528 0.245114
4206 0.810591 0.206839
4211 0.813949 0.238032
4216 0.821473 0.621526
4221 0.821202 0.613216
4226 0.829649 0.597152
4231 0.839417 0.409003
4236 0.850555 0.574573
4241 0.843996 0.59673
4246 0.831602 0.607066
4251 0.799348 0.546605
4256 0.752362 0.592209
4261 0.716299 0.587298
4266 0.729811 0.484673
4271 0.746192 0.501236
4276 0.755368 0.491589
4281 0.763042 0.520942
4286 0.7613 0.630111
4291 0.72941 0.57345
4296 0.71497 0.554173
4301 0.706863 0.684373
4306 0.696941 0.626606
4311 0.706397 0.676064
4316 0.690147 0.650316
4321 0.67025 0.727976
4326 0.640442 0.717839
4331 0.62708 0.641066
4336 0.618013 0.694972
4341 0.623195 0.69949
4346 0.621173 0.70015
4351 0.623041 0.691265
4356 0.617462 0.690357
4361 0.612272 0.664537
4366 0.601519 0.58866
4371 0.598084 0.611405
4376 0.595025 0.597695
4381 0.596147 0.500284
4386 0.591269 0.526347
4391 0.574354 0.450219
4396 0.538733 0.604586
4401 0.507354 0.551276
4406 0.479811 0.506203
4411 0.463492 0.562523
4416 0.485042 0.563168
4421 0.499895 0.570148
4426 0.496054 0.52198
4431 0.473819 0.566688
4436 0.456948 0.458196
4441 0.464063 0.630152
4446 0.482769 0.60532
4451 0.485281 0.629082
4456 0.48823 0.503039
4461 0.473851 0.585901
4466 0.486589 0.57025
4471 0.506713 0.542237
4476 0.510307 0.390049
4481 0.465704 0.477725
4486 0.446564 0.456815
4491 0.451847 0.478527
4496 0.462232 0.54686
4501 0.504663 0.522466
4506 0.573519 0.513998
4511 0.638558 0.581614
4516 0.677554 0.546167
4521 0.681116 0.469208
4526 0.72409 0.506669
4531 0.774593 0.549741
4536 0.774706 0.556616
4541 0.756073 0.546252
4546 0.72014 0.536877
4551 0.698509 0.584487
4556 0.619423 0.613009
4561 0.597249 0.605279
4566 0.560741 0.491066
4571 0.529657 0.510842
4576 0.510749 0.530715
4581 0.48005 0.538684
4586 0.470764 0.548906
4591 0.490017 0.509865
4596 0.498477 0.540807
4601 0.487489 0.48932
4606 0.481391 0.515769
4611 0.460603 0.479163
4616 0.437254 0.446256
4621 0.418232 0.484418
4626 0.353229 0.392018
4631 0.366858 0.488814
4636 0.376764 0.441573
4641 0.411535 0.500547
4646 0.42691 0.504355
4651 0.446277 0.525901
4656 0.455518 0.539045
4661 0.425901 0.46337
4666 0.409128 0.406195
4671 0.372061 0.402042
4676 0.310465 0.417685
4681 0.264188 0.34216
4686 0.260311 0.343874
4691 0.280099 0.368252
4696 0.282611 0.373446
4701 0.2921 0.402269
4706 0.290528 0.388291
4711 0.320481 0.421185
4716 0.376513 0.44357
4721 0.405348 0.316834
4726 0.421226 0.456219
4731 0.407913 0.32341
4736 0.385167 0.455389
4741 0.356758 0.375103
4746 0.325739 0.449202
4751 0.282927 0.367397
4756 0.244425 0.305117
4761 0.199396 0.39041
4766 0.164014 0.249639
4771 0.136476 0.249761
4776 0.0970343 0.219994
